omitted_history,contrast,treatment,reference,n_histories,full_sample_mean_difference,mean_difference,difference_sd,min_difference,max_difference,t_95_low,t_95_high,simultaneous_confidence,simultaneous_low,simultaneous_high,exact_sign_flip_p,holm_adjusted_p,same_direction_as_full_estimate,simultaneous_interval_excludes_zero,holm_significant_0_05
p07,D1-D0,D1,D0,14,0.01666666666666666,-0.01190476190476191,0.20635507646388926,-0.5,0.25,-0.13105063583496177,0.10724111202543794,0.9833333333333333,-0.16334524311728296,0.13953571930775913,0.9169921875,0.9169921875,False,False,False
p07,D2-D0,D2,D0,14,-0.09999999999999999,-0.10714285714285714,0.1197779793900546,-0.33333333333333326,0.08333333333333337,-0.176300603472974,-0.03798511081274028,0.9833333333333333,-0.19504587919750255,-0.019239835088211726,0.009521484375,0.0263671875,True,True,True
p07,D3-D0,D3,D0,14,-0.15000000000000002,-0.17261904761904764,0.19465146837153358,-0.5,0.16666666666666663,-0.2850074594203994,-0.06023063581769586,0.9833333333333333,-0.3154704498915153,-0.029767645346579996,0.0087890625,0.0263671875,True,True,True
p08,D1-D0,D1,D0,14,0.01666666666666666,0.05357142857142856,0.18376157111407984,-0.33333333333333337,0.41666666666666663,-0.052529343749551816,0.15967220089240894,0.9833333333333333,-0.08128806330424156,0.1884309204470987,0.357421875,0.357421875,True,False,False
p08,D2-D0,D2,D0,14,-0.09999999999999999,-0.08928571428571427,0.11539733344642139,-0.33333333333333326,0.08333333333333337,-0.15591415095077765,-0.022657277620650895,0.9833333333333333,-0.17397385478234972,-0.004597573789078824,0.01904296875,0.05712890625,True,True,False
p08,D3-D0,D3,D0,14,-0.15000000000000002,-0.13690476190476192,0.2082875407548412,-0.5,0.16666666666666663,-0.25716640749771835,-0.01664311631180551,0.9833333333333333,-0.28976344579570845,0.015953921986184588,0.038818359375,0.07763671875,True,False,False
p09,D1-D0,D1,D0,14,0.01666666666666666,-7.93016446160826e-18,0.22645540682891915,-0.5,0.41666666666666663,-0.13075145916059908,0.13075145916059908,0.9833333333333333,-0.1661917718285455,0.1661917718285455,1.0,1.0,False,False,False
p09,D2-D0,D2,D0,14,-0.09999999999999999,-0.09523809523809523,0.12167431859122863,-0.33333333333333326,0.08333333333333337,-0.16549075522511703,-0.02498543525107344,0.9833333333333333,-0.1845328083821441,-0.005943382094046379,0.0185546875,0.0556640625,True,True,False
p09,D3-D0,D3,D0,14,-0.15000000000000002,-0.13095238095238096,0.20073126386549828,-0.5,0.16666666666666663,-0.24685116216096212,-0.0150535997437998,0.9833333333333333,-0.27826564174104,0.016360879836278097,0.039794921875,0.07958984375,True,False,False
p10,D1-D0,D1,D0,14,0.01666666666666666,0.023809523809523798,0.2344036154692477,-0.5,0.41666666666666663,-0.11153109439120788,0.15915014201025549,0.9833333333333333,-0.14821530316791942,0.19583435078696704,0.7822265625,0.7822265625,True,False,False
